item Name,Category,Model name,Manufacturer,Model Number,Serial number,Asset Tag,Location,Notes,Purchase Date,Purchase Cost,Company,Status,Warranty,Supplier
adipiscing elit proin,lobortis sapien sapien,blandit non,Jetpulse,6771123616739565,79bfd454-34f7-4eb5-8873-aaf43cc63856,982547121-2,Efeng,,2015-06-27,287.02,,Ready to Deploy,21,Babbleset
pede posuere nonummy,at nulla suspendisse,interdum in ante vestibulum,Demimbu,3570349766502210,11515f0c-7d36-4938-9656-ae35be5aad59,847767021-8,‘Ayn al Bayḑā,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",2016-03-15,,,Ready to Deploy,20,Devcast
cras in purus,sed tristique in,consequat varius integer ac,Feedfire,6334048542335537,354f339d-547d-4b10-8753-a8e5cb18e1d9,408291765-9,Lakatnik,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,2016-01-01,,,Lost,25,Edgewire
duis faucibus,mauris ullamcorper,orci luctus,Wikizz,6.30498754987502E+018,edb67bfb-ef81-44e7-a9fe-ee496816f7bc,134054338-9,Longsha,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,2015-07-06,,,Archived,,
morbi porttitor lorem id,leo,sem duis aliquam convallis,Janyx,6304963499994647,30a3b488-c5db-4569-ac68-46cb86424ff1,145564427-7,Arlington,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",2015-07-17,,,Archived,28,Trunyx
nulla tempus vivamus,eu felis fusce,cubilia curae nulla dapibus,Yata,3578865180776215,f285b067-6992-4a07-b34d-ed174dc73611,761164290-1,Gamut,Sed ante. Vivamus tortor. Duis mattis egestas metus.,2016-01-11,27.46,,Ready to Deploy,,
erat nulla,morbi non,varius ut,Avamba,6759641695421678,d1f90868-5e42-46c3-aba7-7de3e3d74091,415061883-6,Ondoy,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,2015-07-07,,,Archived,,
praesent blandit lacinia,eu sapien cursus,lacinia sapien quis libero,Camimbo,30077414766248,cb932a82-1853-40cc-b6c0-28bf3b4ea677,194809534-3,Foundiougne,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,2015-12-03,,,Lost,29,Edgeblab
nisi vulputate nonummy,justo in,ornare consequat,Twinder,374622966591991,,875593621-0,Pruchnik,,2015-06-19,,,Lost,,
fermentum donec ut mauris,augue luctus,suspendisse ornare consequat lectus,Realcube,3528634905061019,88a71d08-c42b-43c7-bdb8-973a2e0efe47,112308770-9,Cabugao,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",2016-03-05,787.63,,Undeployable,15,Tagpad
vel augue,ipsum dolor sit,ante ipsum primis in faucibus,Tazz,5.01866181155617E+016,84198bfa-740b-4ff9-907e-05a9ef1bece4,160413103-9,Gwanda,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,2015-11-13,899.41,,Lost,18,Photobug
lobortis convallis,maecenas tincidunt,morbi non,Meevee,3570956119504428,5e030a75-f9b4-42fc-9958-f3dba0b7fc0a,171773317-4,Sokodé,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,2015-05-25,243.93,,Undeployable,,
dui vel sem,iaculis,justo maecenas rhoncus aliquam,Topicstorm,4041595978958,60e9678e-026b-47c7-b7cb-dc00677aaed7,501758906-6,Goz Béïda,,2015-07-18,706.29,,Ready to Deploy,29,Jaxspan
lacinia sapien quis libero,ante vestibulum,at feugiat non pretium quis,Dabtype,3560250144664841,147b19d6-1712-4435-aa35-07de51b13306,647505330-9,Ishurdi,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",2016-03-06,993.95,,Archived,,
suscipit nulla,aliquet massa,viverra dapibus nulla suscipit ligula,Mudo,30108606484462,aa2e2be0-9f07-4311-a402-a11b2a6ca0d8,650783961-2,Xianxi,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,2016-01-25,669.89,,Undeployable,20,Yabox
ultrices enim lorem,leo rhoncus sed,cras non velit,Npath,5048375808154248,7fa57f76-d4fe-4871-8296-20ecd1627acb,192573987-2,Zhongzhai,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,2015-11-09,352.64,,,,
pede lobortis,suspendisse accumsan tortor,lacus curabitur at,Dynabox,201897802174892,7ae2a979-52f8-4ce4-ab76-3c0f336589ae,613690706-2,Mangunjaya,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,2015-09-24,,Alphazap,Archived,35,Tekfly
ut erat id,sapien,etiam pretium,Zoombox,4.91136995824574E+018,80744318-59a6-4be4-8876-428bb2eb6182,122507763-X,Lieqiao,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",2016-01-03,91.35,,Pending Diagnostics,,
cubilia curae donec pharetra,non,pede libero quis,Oyondu,3564650478504040,51df7750-55b9-43ee-ba42-4baf70209c96,113885169-8,El Crucero,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",2016-01-04,475.07,,Lost,,
tincidunt nulla mollis,vulputate ut,nibh in quis,Zooveo,6387186677750447,,244101401-3,Cuijiamatou,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",2015-07-25,900.01,,Archived,12,Npath
pede venenatis non,pellentesque quisque porta,cursus id turpis integer,Buzzshare,3573360216468750,c8de4be3-fdc8-4d57-b1d8-26414ad341bf,691575472-5,Berdyans’k,,2015-10-09,708.94,,Undeployable,14,Topiclounge
in hac habitasse platea,nulla,odio odio,Bubbletube,30327857110960,6388f77f-cc36-41ca-8482-2cfc5c0e6bdf,007983155-9,Cibeusi,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",2015-06-25,532.83,,Pending Diagnostics,16,Shuffletag
ut rhoncus,quam fringilla rhoncus,neque libero convallis,Jamia,6.75935914853866E+018,b8186328-c3b6-479b-bec9-3613ce9698d1,977093557-3,Ramada,,2015-12-07,,,Pending Diagnostics,,
nulla ultrices,ac est lacinia,est quam pharetra magna ac,Flashpoint,5100135124378581,02bead54-767b-4f61-a085-5439aeaf1712,349567419-5,Chonghe,,2015-09-08,,,Pending Diagnostics,,
tortor duis,dictumst morbi,quam a odio in,Avavee,5518385515115466,2fb047a6-ff89-4d9d-bfe6-304acad6ef17,145992551-3,Strelitsa,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,2015-12-22,741.63,,,,
venenatis non,et,vehicula condimentum,Tagcat,6.33110952678068E+017,8bbd2e80-6a66-4210-926d-6f45c896143a,957728455-8,Rāwandūz,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,2015-07-17,205.46,,Pending Diagnostics,26,Youtags
dolor quis odio,imperdiet,viverra diam vitae quam,Plambee,3558900459434834,,871649171-8,Klukeng,Sed ante. Vivamus tortor. Duis mattis egestas metus.,2016-05-09,413.07,,Archived,22,Izio
adipiscing elit,fusce,suspendisse ornare consequat,Kamba,201484896304931,4571c470-5dce-40b5-8b2f-1262071ec940,747966524-5,Mollās̄ānī,,2016-03-08,,,Pending Diagnostics,26,Wikibox
ac enim in tempor,in tempor turpis,lacinia erat,Chatterbridge,5100146736106146,9a43a613-f009-4dd8-94ac-8af4a67b4dd0,178043767-6,Đoan Hùng,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",2016-05-02,181.91,,Archived,18,Voomm
amet diam,consectetuer eget,et magnis dis,Trupe,201622330574532,2947a0fc-1cae-4838-b315-df505ae4a9d6,808569614-2,Mweka,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,2015-11-09,966.58,,,,
vestibulum eget,ut odio cras,vel nisl,Tanoodle,3532266060924154,fa077cd0-ba8d-4225-8eb4-84033ed235fc,863693363-3,Zbůch,,2015-09-23,,,Archived,31,Blognation
tempus vivamus,cras,nonummy maecenas tincidunt lacus,Zoomzone,3530625218870928,a37407ca-e6af-408c-9b9a-1aa9f90f7681,009595242-X,Sanzhang,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,2016-03-27,,,,18,Layo
ultrices aliquet maecenas,pretium iaculis,mus vivamus vestibulum,Bubblemix,3530545021176695,1e99a09a-06ab-4ba2-a98d-785f7c64ebe2,827817985-9,Jalasenga,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",2016-03-19,784.52,It,Undeployable,,
dolor morbi vel lectus,cum sociis,fringilla rhoncus mauris enim,Thoughtmix,3582585977910835,4c75547e-5c7a-45be-b532-ec13873b5ddd,179689579-2,Jaboatão,,2015-07-15,638.29,,Archived,24,Meejo
nulla integer,aliquam augue,sem duis aliquam,Trudeo,3584687842880959,,059264762-5,Suwa,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",2016-02-14,,,Ready to Deploy,34,Zoonder
leo odio,pretium quis,varius nulla facilisi,Babbleblab,337941672639555,ccf578a6-e39c-45cf-a656-3a948922aee1,133207649-1,Krajan Puru,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",2016-04-13,604.35,,Lost,14,Tagfeed
dapibus at diam,morbi,ante ipsum primis in faucibus,Lazz,201999051559391,b15d20dc-eed3-47a4-a83f-67229d154e95,041974769-9,Kengkou,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,2015-12-29,662.67,,,,
eu interdum eu,eleifend,orci nullam molestie nibh in,Yacero,6.30480625439569E+018,bfdad967-af1e-4bbf-b456-eca3259120de,184953647-3,Tosontsengel,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",2016-04-10,330.47,,Ready to Deploy,18,Trilith
eget congue,congue,purus eu,Realmix,3562617492300509,d3b995cd-cc81-4761-b7bd-5b160bb199b8,795122803-6,Middelburg,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",2015-07-11,925.85,,Archived,15,Mydeo
pede justo eu,pellentesque volutpat dui,consectetuer adipiscing elit proin,Riffpedia,374283107255804,b16407a3-9d08-421e-b386-ab93a838a67d,892497373-8,Zaragoza,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,2016-04-03,187.77,,,,
ut suscipit,sit,tortor id nulla ultrices aliquet,Browseblab,3566901421682690,c698ba68-bc82-4aff-acb3-5884c9f80296,162198086-3,Fuchun,,2015-10-29,718.76,,Pending Diagnostics,21,Edgeblab
velit donec diam neque,augue,non velit,Jabberbean,3577223053605601,89a8527c-f296-4146-b4c0-81bf896f8af6,653699580-5,Crumlin,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,2015-10-18,648.77,,,,
id ornare imperdiet sapien,a ipsum,libero nam dui proin,Rhynoodle,4026264559297795,fb87796a-6f51-4dd8-af0c-c079423a0364,356963504-X,Verkhnyaya Belka,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",2016-02-23,646.41,,Pending Diagnostics,35,Yambee
montes nascetur ridiculus,ut,sed justo,Jabbersphere,3584134828079298,216ce7c7-3bc1-446a-b240-9ee34dbbf605,333143943-6,Raoshi,,2016-01-05,469.31,,Undeployable,,
volutpat dui maecenas,sed vestibulum sit,eu est congue,Photobean,3531364203546819,1dd924ac-243a-42f7-af03-18e7074d2d8a,657518473-1,Lyon,Fusce consequat. Nulla nisl. Nunc nisl.,2016-03-04,908.76,,Lost,30,Yamia
eget nunc donec,potenti cras in,lorem id ligula,Topicware,6763202349529137,d2170b43-c046-4189-88a0-0f3b3b4ab636,499571423-5,Pengfang,,2015-11-24,562.82,,Pending Diagnostics,15,Camido
nisi vulputate nonummy maecenas,dictumst aliquam augue,duis ac,Blogspan,5048370656048956,1bba6cc4-b7fd-4614-82a1-058a6dcf5cff,340219850-9,Carmen de Viboral,,2015-08-31,764.65,,Undeployable,,
sed lacus morbi,est,nibh fusce lacus purus,Skyba,6.76760499675562E+017,79a0ca4b-0cfc-450b-8b99-91995e017d06,393164024-8,Syamzha,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",2015-09-26,129.34,,Lost,,
rutrum nulla nunc,vulputate,commodo vulputate justo,Skyba,201990757415202,0dcd299f-f6ad-448e-8ee2-9366b2c6fab1,634821306-4,Vyerkhnyadzvinsk,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",2015-07-10,970.05,,Undeployable,13,Kare
elementum eu,donec,purus aliquet at feugiat,Ntags,201886666765648,da4f2d20-d589-4d67-99a5-ba1a91f89c67,696680010-4,Kwali,,2016-01-23,592.32,,Lost,,
ut nunc vestibulum ante,nec,maecenas tincidunt lacus at velit,Zoomzone,5.02094884070623E+018,f2721951-674f-42a6-a318-ebc4c2ad01d6,767022282-4,Hukou,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,2015-07-25,100.04,,Lost,,
sagittis nam congue,neque vestibulum eget,lorem vitae mattis nibh,Rhynoodle,3536985805530234,fd38d1eb-46bc-438c-a1f1-e3d46c7ab7ff,446825369-X,Pogag,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",2015-09-14,282.91,,,,
lorem id,quis odio,ullamcorper augue a suscipit nulla,Dynabox,3584918729913617,2b8a3a33-23e4-4f7c-bfa2-cda5a4f161a7,453899036-1,Bulqizë,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",2016-05-22,937.05,,Undeployable,,
mus etiam,consequat varius,non ligula,Youopia,3579590994419856,8c118547-498c-4c9a-bb7c-38bf34c948f6,059415701-3,Niederanven,,2016-04-10,528.2,,Archived,,
venenatis tristique fusce congue,ultrices aliquet maecenas,quam turpis adipiscing lorem,Tagchat,5402364995491845,,907635086-8,Świętajno,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",2015-05-28,136.71,,Undeployable,29,Rooxo
lobortis est phasellus sit,at,at velit eu,Ozu,3529024230545655,f6dfecd8-6e31-4f7a-ac69-7d78288b3c50,924210851-0,Las Trojes,,2015-06-10,239.46,,Lost,,
pulvinar nulla pede ullamcorper,vel nulla eget,justo aliquam quis turpis eget,Mycat,3579823933687295,,052859686-1,La Mesa,,2015-11-21,665.35,,Lost,,
tempus semper est,massa volutpat convallis,id ligula suspendisse ornare,Babblestorm,3563899999001645,bad2fb72-05bf-4bd1-928e-4474f41bf61e,937286949-X,San Mariano,,2016-03-08,738.25,,Lost,,
nunc donec,varius,ut dolor morbi vel lectus,Skyble,5100172494380202,d028c3fb-74ea-4e2f-a4ff-86b869f88f7a,523965895-1,Fenghuanglu,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",2015-09-19,433.76,,Pending Diagnostics,,
quam pharetra magna ac,ullamcorper augue a,platea dictumst,Realfire,4.91144176388878E+018,6c1b81d0-0b44-4cfd-9a29-1abb81d6dd8b,624477386-1,Wuyanquan,,2015-12-27,783.9,,Ready to Deploy,,
dolor morbi vel,sit amet cursus,ante ipsum primis in faucibus,Shuffledrive,3563327459528782,6d8835b2-8241-4b4d-afff-95f6aa252ef4,737509813-1,Freiria,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",2016-02-11,139.88,Solarbreeze,Undeployable,16,Chatterpoint
nulla dapibus,orci luctus,felis sed,Vinder,5523504746793551,10ce22fe-38b7-4329-92a7-bd6dd7a35779,140866058-X,Rangah,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",2016-03-21,493.73,,Archived,,
ac nibh,pharetra magna,non interdum,Jamia,3533461555472467,bb5962ec-37e3-4e87-93ae-e748aad36f0d,564625708-5,Hīrna,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",2015-09-07,,,Undeployable,,
augue luctus tincidunt,nibh in,nulla justo aliquam quis,Skyble,3543865682244185,61ea2737-22f0-40c9-b1d0-8c8bcb49024c,510924762-5,Bradag,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,2015-06-04,232.69,,Lost,,
magna ac,leo,eu orci mauris,Gigashots,3534002218741291,723cb029-3cc3-4fa1-ae81-46897e1b0cd5,992799439-7,Charneca da Cotovia,,2015-06-02,185.11,,Undeployable,17,Yoveo
est quam pharetra magna,vestibulum sagittis,vehicula condimentum curabitur in libero,Browseblab,3533638286064040,fa051420-1c81-4f0d-a5d4-0d966801ac92,943747227-0,Yunzhong,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",2016-03-03,,,Pending Diagnostics,,
id pretium,fringilla,porttitor id consequat in consequat,Devshare,6.75976956722772E+016,b04f9655-5453-4003-b4ff-a2c04fb7cc14,187554544-1,Sukasenang,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",2016-05-15,,,Undeployable,,
sed tristique in,sit amet cursus,id massa id nisl venenatis,Tagtune,3547271219604254,,492976895-0,Pakuranga,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,2015-07-14,44.95,,Archived,14,Meembee
enim blandit mi,ipsum praesent,lectus pellentesque at,Roomm,337941483315940,5039582c-b5cf-4b9e-8f07-6341560cae04,007320130-8,Vanves,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",2016-01-23,610.68,,Archived,,
pede ac diam cras,nec nisi,tincidunt lacus at velit vivamus,Dynava,3573979602020378,22bac401-b902-4fa6-987c-27238e4982f1,169662058-9,Xianglong,,2015-07-02,742.54,,Lost,,
rhoncus aliquet pulvinar,suscipit a feugiat,sed tristique in tempus,Centizu,3554059573408622,a53ca64f-9589-4c14-9f1f-9fbd7c130bf1,134899168-2,Kopang Satu,,2015-08-24,,,Undeployable,,
adipiscing lorem vitae,at diam nam,vivamus metus arcu adipiscing,Wikivu,3530205336633621,74d45443-31f9-4149-bdbd-b81a49a8fc26,841640422-4,Valkeakoski,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,2016-05-08,617.19,,Archived,16,InnoZ
erat vestibulum,ullamcorper augue,adipiscing molestie hendrerit at vulputate,Blogspan,3537869019746662,b05201f2-5fca-4c51-804c-c5690272809b,981888153-2,Kazinka,,2016-04-04,814.56,,Undeployable,27,Ooba
fringilla rhoncus mauris,pretium,orci mauris lacinia,Brightbean,374283783131519,f3317f7a-8b58-4e6e-9c98-bb0990b48de2,364170641-6,Abashiri,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",2016-01-23,977.48,,,,
in imperdiet,lectus,in congue etiam,Topdrive,5.60225892846392E+018,6264ae5b-7977-4a7c-80e0-6fb69ee37bb6,356456589-2,Songdong,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",2016-04-07,782.48,,,19,Eayo
nisl ut volutpat sapien,amet consectetuer,nec sem duis aliquam,InnoZ,3581759486996442,bbf6c2d3-f538-411d-b3ca-07f87eb514c9,215895129-X,Lincheng,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",2015-08-18,,,Archived,14,Voolia
neque libero convallis,volutpat quam,sagittis nam,Agivu,5.60223009236108E+018,85cebfbc-d8ef-4f12-a56c-52d920daff55,533951910-4,Shangtianba,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,2016-02-22,814.64,,Archived,,
sapien placerat ante,justo sit,lectus pellentesque,Fivechat,6.76708599977152E+018,a61d9de9-aee4-41e5-b923-c9f0b6af353f,516270880-1,Bangolo,,2015-06-15,748.03,,Archived,,
feugiat et eros vestibulum,id ligula,dapibus dolor vel,Vitz,3528040134299653,6f58dc1c-1eec-4a6a-89ce-54c0ca6d7ace,906786221-5,Stepove,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,2016-02-05,245.24,,Ready to Deploy,,
amet nulla quisque,eget massa tempor,in hac habitasse platea dictumst,Topiczoom,3557006552255133,242df59e-540c-4ae4-9574-b2a1cf0c328f,946770951-1,Bara Datu,,2015-10-14,101.41,,Archived,,
congue diam id,hac habitasse,quis turpis sed,Linktype,3531953377823515,806c60b9-0518-48b4-88e7-e0f7d37db7f4,714515414-5,Richmond,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",2015-07-14,48.61,,Pending Diagnostics,28,Buzzster
elementum ligula,varius nulla facilisi,ante ipsum primis in faucibus,Twitterwire,3553000703370598,004beb8c-6350-4a5a-bc0a-63ae792afe54,109876345-9,Union,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",2016-03-18,,,Archived,,
aenean fermentum,eget nunc donec,faucibus orci luctus,Ailane,6.77139784464648E+016,5f17fc64-ef57-4884-a55f-eb573d697df3,441234671-4,Nurota Shahri,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",2015-07-13,179.08,,Archived,22,Yodoo
nulla nisl nunc nisl,nascetur,justo eu,Edgetag,3552389058992572,fc437480-f186-49fa-87d3-bbea40c6f142,446611490-0,Reguengos de Monsaraz,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,2016-05-18,960.59,,Pending Diagnostics,,
consectetuer adipiscing elit proin,in felis,purus sit amet nulla quisque,Gabtune,5002359749827009,9c0affc9-3c66-4516-aea7-b1d847590c64,242378972-6,Bang Lamung,,2015-06-10,,,Lost,,
consectetuer adipiscing elit,eros,ligula vehicula consequat morbi,Oodoo,4405292980607713,b321fffc-88c6-4223-a4c7-e7b513ca12ea,869734139-6,Hongjiang,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",2015-10-12,136.67,,,,
sapien urna,congue etiam,nulla facilisi cras,Katz,5100177038440966,54ca7672-f4a9-46d1-8842-a4f5b3ef8a61,172650221-X,Hechun,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",2015-08-04,29.63,,Archived,14,Thoughtworks
fusce consequat nulla nisl,amet consectetuer adipiscing,rutrum neque aenean auctor gravida,Eamia,5.60222512906447E+016,59f8f748-c09d-4511-a5b2-85fd469ded76,288508590-8,Azun Atme,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,2015-11-19,872.99,,Pending Diagnostics,,
sed sagittis nam congue,vehicula,vel dapibus at diam nam,Jabbercube,6.75901114016155E+018,d48acb86-3a62-42cc-a88f-75a3a458a2b3,602874973-7,Tonghu,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",2015-12-22,517.54,,Ready to Deploy,27,Livetube
ante ipsum,in quis justo,quam fringilla rhoncus,Topiczoom,6.70972201649997E+018,57e10cfb-8811-4b3b-ac41-5af69cab6d31,851596451-1,Aoluguya Ewenke Minzu,In congue. Etiam justo. Etiam pretium iaculis justo.,2015-08-02,992.72,,,17,Skiptube
pulvinar nulla pede,potenti in eleifend,convallis nulla neque libero convallis,Linktype,30452034512787,bca3bec1-cd84-4e44-adf9-2d266bfe0507,943283235-X,Cachoeiro de Itapemirim,,2015-08-30,633.31,,Lost,31,Dabjam
dolor quis odio consequat,diam erat fermentum,proin leo odio porttitor,Edgewire,3563543318424332,1685ce6c-7936-4563-925f-7f3b3b9c0a3d,040550980-4,Nusajaya,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",2016-02-04,,,,,
congue etiam justo,justo sit,id massa id,Innojam,4913067546227080,291a2ce5-c22e-4782-b4aa-ef147fccef40,103809062-8,Chornyanka,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,2015-06-10,289.46,Konklux,Undeployable,,
tincidunt nulla mollis,platea dictumst,ut massa quis,Kwimbee,6.33300098040684E+018,abe4c9e3-aeb2-407b-8545-3c2e5c29b942,698953325-0,Bula,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",2015-12-25,,,Undeployable,,
vel augue,iaculis justo in,primis in faucibus orci luctus,Camimbo,374288913295969,8873831c-2370-4fcc-bc23-a66a2a379151,147321108-5,Novoarkhanhel’s’k,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,2015-08-09,,,Pending Diagnostics,27,Tazz
justo sit amet,convallis,nunc viverra dapibus,Meevee,3551827310027811,d6ff99f7-3f70-4cd1-8835-12fb324783bb,404043143-X,Santiaoshi,,2015-05-31,613.59,,,24,Flipstorm
